2022-06-19 07:14:04.628973 :: target_cam_pos: (112, 83), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.648356 :: target_cam_pos: (113, 92), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.673654 :: target_cam_pos: (115, 105), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.701713 :: target_cam_pos: (117, 117), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.733834 :: target_cam_pos: (119, 130), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.762567 :: target_cam_pos: (121, 142), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.776640 :: target_cam_pos: (121, 145), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.812394 :: target_cam_pos: (123, 158), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.843526 :: target_cam_pos: (124, 169), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:16:24.290455 :: target_cam_pos: (98, 0), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.324839 :: target_cam_pos: (98, 6), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.338683 :: target_cam_pos: (98, 7), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.370828 :: target_cam_pos: (100, 13), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.395356 :: target_cam_pos: (102, 20), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.436255 :: target_cam_pos: (103, 26), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.465145 :: target_cam_pos: (105, 34), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.498038 :: target_cam_pos: (107, 43), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.532382 :: target_cam_pos: (109, 56), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.565457 :: target_cam_pos: (111, 70), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.597202 :: target_cam_pos: (112, 81), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.629554 :: target_cam_pos: (114, 94), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.669351 :: target_cam_pos: (116, 108), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.701146 :: target_cam_pos: (118, 120), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.716015 :: target_cam_pos: (118, 121), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.749086 :: target_cam_pos: (120, 136), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.775887 :: target_cam_pos: (122, 147), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.801230 :: target_cam_pos: (123, 158), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.841137 :: target_cam_pos: (125, 170), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:16:24.873877 :: target_cam_pos: (126, 181), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:17:38.386083 :: target_cam_pos: (97, 6), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
